sharpe_ratio,total_trades,win_rate,cagr,max_drawdown,initial_capital,max_capital_used,additional_capital_required,final_capital,realized_pnl,avg_capital_utilization,max_concurrent_trades,macd.fast_period,macd.slow_period,macd.signal_period,support_resistance.support_period,support_resistance.resistance_period,atr.window,ema.period,bollinger_bands.length,bollinger_bands.std,rsi.length,rsi.oversold,rsi.overbought,risk_management.stop_loss_atr_multiplier,risk_management.take_profit_atr_multiplier
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,30,2.2,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,30,2.2,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.0,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,15,40,2.2,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,1.8,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.0,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,20,2.2,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.0,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,30,2.2,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.0,14,30,75,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,65,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,65,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,65,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,65,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,70,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,70,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,70,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,70,2.5,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,75,2.0,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,75,2.0,3.0
10.0,1,100.0,33.637214159175535,0.0,1000000.0,1000000.0,0.0,1029420.3311654924,29420.33116549241,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,75,2.5,2.5
10.0,1,100.0,18.224168449981136,0.0,1000000.0,1000000.0,0.0,1034499.6773985908,34499.67739859088,0.0,1,8,21,7,10,10,10,20,40,2.2,14,30,75,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,1.8,14,30,65,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,1.8,14,30,65,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,1.8,14,30,70,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,1.8,14,30,70,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,1.8,14,30,75,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,1.8,14,30,75,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.0,14,30,65,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.0,14,30,65,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.0,14,30,70,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.0,14,30,70,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.0,14,30,75,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.0,14,30,75,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.2,14,30,65,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.2,14,30,65,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.2,14,30,70,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.2,14,30,70,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.2,14,30,75,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,20,2.2,14,30,75,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.0,14,30,65,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.0,14,30,65,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.0,14,30,70,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.0,14,30,70,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.0,14,30,75,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.0,14,30,75,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.2,14,30,65,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.2,14,30,65,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.2,14,30,70,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.2,14,30,70,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.2,14,30,75,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,30,2.2,14,30,75,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,40,2.0,14,30,65,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,40,2.0,14,30,65,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,40,2.0,14,30,70,2.0,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,40,2.0,14,30,70,2.5,3.0
10.0,1,100.0,24.273089832521812,0.0,1000000.0,1000000.0,0.0,1032649.8398455195,32649.839845519546,0.0,1,8,21,7,10,10,14,10,40,2.0,14,30,75,2.0,3.0
